id,instruction,input,output,source,topic
1376,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, what you do-- What do you suggest?","Great, okay. So have you got a date in mind when you'd like to stop smoking?",AnnoMI-derived authentic counseling turn,substance-use counseling
1377,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. Um, I have a two-year-old son as I mentioned, so I try to never smoke around him. So I'm normally kinda waiting until he gets to bed.","Okay. So over the past year, the smoking has increased. And that's been mainly in the evening?",AnnoMI-derived authentic counseling turn,substance-use counseling
1378,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Uh, I don't know. Maybe if I got sick or something, uh, maybe I'd wanna change things then.","Well, how about hypothetically if I were to ask you, how would your drinking have to impact your life in order for you to be ready to change your drinking?",AnnoMI-derived authentic counseling turn,substance-use counseling
1379,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"Okay. Well, I've got a brochure here and this has-- it's a really good brochure. It has some distraction techniques in it in case you get those nicotine cravings. So it's-",AnnoMI-derived authentic counseling turn,substance-use counseling
1380,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Oh, wow. Okay, that's exciting.",AnnoMI-derived authentic counseling turn,substance-use counseling
1381,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, it's normal.",-really a rough night.,AnnoMI-derived authentic counseling turn,substance-use counseling
1382,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. I mean, I- I, um, I've always liked therapy itself, and I- I've heard, I don't know if it's accurate, but if you have the willingness that is you're ease- more easily hypnotized, I don't know is it true?","Yeah, okay.",AnnoMI-derived authentic counseling turn,substance-use counseling
1383,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, so that's a little- a little bit, uh, concerning I guess to me.",Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1384,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I'd probably a 6.,"Okay. So on a scale of 0 to 10, 0 being not ready at all to do that and 10 being very ready, where would you lie on that scale?",AnnoMI-derived authentic counseling turn,substance-use counseling
1385,Use motivational interviewing principles to respond to this substance-use concern.,"My friends use drugs, and it makes staying sober difficult.","That environment can make recovery harder. Which people or places feel safer for you, and how might you create more distance from situations that increase the urge to use? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - social environment
